,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Kanchanaburi,TH,14.63,99.1,75.33,85,100,5.35,overcast clouds
302,Vastseliina,EE,57.73,27.29,68.0,64,100,4.47,overcast clouds
303,Nouadhibou,MR,20.93,-17.03,86.0,48,0,16.11,clear sky
304,Anadyr,RU,64.75,177.48,50.0,93,75,6.71,broken clouds
305,Niono,ML,14.25,-5.99,82.92,68,100,10.96,overcast clouds
306,Ostrovnoy,RU,68.05,39.51,63.27,71,2,13.51,clear sky
307,Altdorf,DE,49.39,11.36,77.0,53,40,8.05,scattered clouds
308,Cayenne,GF,4.93,-52.33,89.6,59,0,3.36,clear sky
309,Kalabagh,PK,32.97,71.56,93.74,48,13,1.59,few clouds
310,Lavrentiya,RU,65.58,-171.0,45.88,96,100,10.45,light rain
311,Tiksi,RU,71.69,128.87,40.24,91,100,6.55,light rain
312,Saint-Pierre,RE,-21.34,55.48,69.8,64,0,11.41,clear sky
313,Karratha,AU,-20.74,116.85,69.93,56,30,8.55,scattered clouds
314,Vryburg,ZA,-26.96,24.73,53.22,55,0,4.54,clear sky
315,Harlingen,US,26.19,-97.7,91.99,59,40,11.41,scattered clouds
316,Ilulissat,GL,69.22,-51.1,46.4,61,20,2.24,few clouds
317,Pandan,PH,14.05,124.17,81.09,81,64,5.19,broken clouds
318,Chumikan,RU,54.72,135.31,53.51,82,99,1.77,overcast clouds
319,Aras,ES,42.56,-2.36,82.4,34,37,6.93,scattered clouds
320,Kyra,RU,49.58,111.98,52.54,86,52,2.35,broken clouds
321,Takhtamygda,RU,54.1,123.57,50.81,86,0,4.63,clear sky
322,Mahebourg,MU,-20.41,57.7,71.6,78,40,11.41,shower rain
323,Paita,PE,-5.09,-81.11,71.6,64,89,19.46,overcast clouds
324,Jardim,BR,-21.48,-56.14,67.66,47,0,4.36,clear sky
325,Severnyy,RU,50.68,36.55,68.0,42,0,4.47,clear sky
326,Puchezh,RU,56.98,43.17,63.66,70,1,3.06,clear sky
327,Yeppoon,AU,-23.13,150.73,51.8,50,0,11.45,clear sky
328,Otjimbingwe,NA,-22.35,16.13,68.88,23,0,5.66,clear sky
329,Yenagoa,NG,4.92,6.26,79.23,81,99,7.72,light rain
330,Bull Savanna,JM,17.89,-77.59,85.39,61,90,5.28,overcast clouds
331,Maragogi,BR,-9.01,-35.22,78.57,74,9,10.85,clear sky
332,Gigmoto,PH,13.78,124.39,81.54,81,63,5.37,broken clouds
333,Puerto Maldonado,PE,-12.6,-69.18,64.4,63,75,6.93,broken clouds
334,Tahta,EG,26.77,31.5,93.2,24,0,13.87,clear sky
335,Ozinki,RU,51.18,49.68,63.97,51,98,7.63,overcast clouds
336,Mujiayingzi,CN,42.12,118.78,61.97,79,34,7.07,scattered clouds
337,Bereda,ES,43.27,-7.54,77.0,48,35,7.0,scattered clouds
338,Katangli,RU,51.71,143.23,54.1,83,93,3.06,overcast clouds
339,Merauke,ID,-8.47,140.33,73.47,87,0,11.56,clear sky
340,Otane,NZ,-39.88,176.63,41.0,94,100,1.52,overcast clouds
341,Antofagasta,CL,-23.65,-70.4,60.8,63,35,8.05,scattered clouds
342,Broken Hill,AU,-31.95,141.43,42.8,75,0,11.41,clear sky
343,Ranong,TH,9.97,98.63,80.15,82,92,7.36,overcast clouds
344,Olafsvik,IS,64.89,-23.71,52.79,63,0,7.76,clear sky
345,Ancud,CL,-41.87,-73.82,52.0,100,90,13.87,overcast clouds
346,Khatanga,RU,71.97,102.5,49.87,77,0,7.43,clear sky
347,Constitucion,CL,-35.33,-72.42,62.4,55,0,4.9,clear sky
348,Klyuchi,RU,52.27,79.17,62.38,54,99,4.23,overcast clouds
349,Lunenburg,CA,44.38,-64.32,80.01,70,86,1.01,overcast clouds
350,Vung Tau,VN,10.35,107.08,82.94,82,22,14.14,few clouds
351,Tabuk,PH,17.42,121.44,75.09,83,100,2.8,overcast clouds
352,Nuuk,GL,64.18,-51.72,44.6,87,75,2.24,broken clouds
353,Novyy Urgal,RU,51.07,132.56,57.99,96,100,4.5,light rain
354,Jalu,LY,29.03,21.55,91.36,22,0,9.53,clear sky
355,Salinopolis,BR,-0.61,-47.36,84.61,68,2,9.53,light rain
356,Batemans Bay,AU,-35.72,150.18,39.0,84,65,5.99,broken clouds
357,Sanandaj,IR,35.31,46.99,82.4,12,0,9.17,clear sky
358,Nouakchott,MR,18.09,-15.98,89.6,66,0,17.22,clear sky
359,Fairbanks,US,64.84,-147.72,57.99,82,90,8.05,overcast clouds
360,Cortes,ES,41.94,-1.44,87.8,32,0,16.11,clear sky
361,Verkhnevilyuysk,RU,63.45,120.32,39.88,74,0,2.37,clear sky
362,Havelock,US,34.88,-76.9,89.01,58,1,8.05,clear sky
363,Sorong,ID,-0.88,131.25,79.21,83,2,11.03,light rain
364,Keshorai Patan,IN,25.3,75.93,80.42,88,100,5.73,overcast clouds
365,Bonao,DO,18.94,-70.41,84.2,79,75,4.7,broken clouds
