City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Mwandiga,TZ,80.6,broken clouds,-4.83,29.66,One Point
575,Ingham,US,86.0,clear sky,42.6,-84.38,Sunset Place
578,Buala,SB,80.64,light rain,-8.14,159.59,Maringe Lagoon Lodge
581,Nusaybin,TR,86.09,broken clouds,37.08,41.22,Aydinlar Hotel
582,Kanakapura,IN,80.01,drizzle,12.55,77.42,Bushbetta.In Kaveri Fishing Camp
585,Eyl,SO,77.9,overcast clouds,7.98,49.82,Amiin Hotel
586,Garissa,KE,80.71,overcast clouds,-0.45,39.64,Sharif Plaza Hotel
587,Ondjiva,AO,87.8,scattered clouds,-17.07,15.73,SOS Motel
588,Krishnanagar,IN,78.28,overcast clouds,23.4,88.5,SPOT ON 65884 New City Hotel & Lodge
594,Matara,LK,79.27,broken clouds,5.95,80.54,Amaloh Boutique Resort
595,Shenzhen,CN,84.2,broken clouds,22.55,114.07,Shun Hing Square
596,Waycross,US,81.0,light intensity drizzle,31.21,-82.35,Super 8 by Wyndham Waycross GA
598,Yankton,US,84.99,clear sky,42.87,-97.4,Holiday Inn Express & Suites Yankton
600,Dawei,MM,76.8,light rain,14.08,98.2,Hotel Dawei
603,Aden,YE,86.09,light rain,12.78,45.04,Sama Emirate Hotel
605,Wahiawa,US,77.0,clear sky,21.5,-158.02,The Inn At Schofield
606,Dahod,IN,75.74,moderate rain,22.83,74.27,Hotel Laxmi Inn
607,Russell,US,82.99,scattered clouds,32.35,-85.2,Macs
610,Nisia Floresta,BR,84.2,scattered clouds,-6.09,-35.21,Rancho Crepusculo
611,Ternate,ID,80.04,light rain,0.8,127.4,Grand Dafam Bela Ternate
613,Manohar Thana,IN,77.45,light rain,24.24,76.8,GEETA SADAN
616,Chivolo,CO,84.79,light rain,10.03,-74.62,hotel las vegas
617,Aloleng,PH,82.62,overcast clouds,16.13,119.78,Agno Umbrella Rocks
620,Gat,IL,82.99,clear sky,31.61,34.76,רגע בנחת
621,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
622,Morgan City,US,89.01,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
623,Rosetta,EG,84.2,scattered clouds,31.4,30.42,Green Valley
624,Biak,ID,76.53,overcast clouds,-0.91,122.88,Kost Ariz
626,Cabrera,DO,82.4,broken clouds,19.64,-69.9,Terramar Hotel
628,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
629,Puerto Plata,DO,84.2,overcast clouds,19.79,-70.69,Be Live Collection Marien
631,San Andres,CO,89.6,broken clouds,12.58,-81.7,Hotel Arena Blanca
633,Shingu,JP,75.24,overcast clouds,33.73,135.98,Shingu UI Hotel
636,Luganville,VU,75.36,broken clouds,-15.53,167.17,The Espiritu Hotel
638,Gafargaon,BD,82.4,haze,24.43,90.57,গফরগাঁও ধামাইল ঢালীবাড়ী
639,Batticaloa,LK,82.35,broken clouds,7.71,81.69,Grand Star Guest House
641,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
643,Sebring,US,86.0,clear sky,27.5,-81.44,La Quinta Inn & Suites by Wyndham Sebring
644,Luwuk,ID,76.98,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
646,Kosonsoy,UZ,77.0,clear sky,41.26,71.55,"Гостиница ""Goldstar'"
649,Huilong,CN,82.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
651,Quebec,CA,75.99,scattered clouds,46.81,-71.21,Clarendon Hotel
652,Yining,CN,76.86,broken clouds,29.04,114.56,Xiushui Hotel
653,Tarakan,ID,81.77,light rain,3.3,117.63,Hotel D' CaLia Tarakan
654,Trairi,BR,85.48,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
656,Requena,ES,87.01,clear sky,39.49,-1.1,Hotel Avenida
657,La Primavera,CO,75.87,moderate rain,5.49,-70.41,La Riviera Hotel Colonial
661,Akdepe,TM,84.2,few clouds,42.06,59.38,Мой дом
663,Fort Frances,CA,80.01,scattered clouds,48.6,-93.4,LA PLACE RENDEZ-VOUS
665,Lata,PT,78.01,clear sky,40.16,-8.33,Casa Maquia
668,Gotsu,JP,76.01,overcast clouds,35.0,132.22,Super Hotel Gotsu Ekimae
676,Sagua La Grande,CU,87.8,broken clouds,22.81,-80.08,Hotel Amaro
678,Gopalpur,IN,82.27,overcast clouds,19.27,84.92,Swosti Palm Resort
